#=SORT(GOOGLEFINANCE("KRX:KOSPI200", "all", DATE(2003,1,1), DATE(2017,3,31), "DAILY"), 1, FALSE)
# Open,High,Low,Close => 3531
178.92,180.23,178.21,179.77
181.13,182.42,179.88,181.1
181.19,181.97,180.34,181.97
180.86,181.94,180.42,181.31
180.88,181.19,177.84,179.61
178.23,179.19,177.69,179.13
179.11,181.91,178.75,181.91
182.55,185.95,181.88,185.67
185.95,186.21,183.5,184.3
183.35,185.84,183.28,184.9
187.4,188.06,185.91,186.34
186.59,187.39,185.41,185.86
186.67,189.18,186.15,188.2
187.71,187.71,184.72,185.41
184.84,186.94,183.93,185.54
185.89,188.34,185.49,188.34
188.8,189.29,187.51,188.4
187.1,187.1,183.23,184.1
184.13,186.19,182.64,186.17
186.92,188.61,186.02,186.03
186.23,187.09,184.67,186.98
189.44,189.79,188.32,188.79
188.75,189.99,188.04,188.51
188.33,189.18,187.3,188.62
188.25,190.2,187.65,190.2
188.06,188.79,185.22,187.27
184.41,184.42,182.07,183.08
183.32,183.39,177.85,179
179.72,182.04,179.71,181.69
176.26,177.47,175.79,177.18
177.13,177.95,174.58,177.94
178.42,178.43,173.55,173.6
171.66,173.49,170.57,172.78
172.38,173.69,169.32,173.36
173.23,173.28,168.28,168.33
170.99,172.44,170.52,171.83
173.31,174.21,172.41,172.64
172.59,172.79,170.15,171.01
